athlete_full_name,games_participations,first_game,athlete_year_birth
Emma WEISS,1,Beijing 2022,2000
Gabi ASH,1,Beijing 2022,1998
Chloe MCMILLAN,1,Beijing 2022,2000
Rachel KARKER,1,Beijing 2022,1997
Alexandra GLAZKOVA,1,Beijing 2022,2006
Zoe ATKIN,1,Beijing 2022,2003
Carly MARGULIES,1,Beijing 2022,1997
Anja BARUGH,1,Beijing 2022,1999
Fanghui LI,1,Beijing 2022,2003
Hanna FAULHABER,1,Beijing 2022,2004
Amy FRASER,1,Beijing 2022,1995
Yujin JANG,1,Beijing 2022,2001
Daeun KIM,1,Beijing 2022,2005
Elisa Maria NAKAB,1,Beijing 2022,1998
Abi HARRIGAN,1,Beijing 2022,2002
Elena SEREGINA,1,Beijing 2022,2001
Corinne STODDARD,1,Beijing 2022,2001
Kristen SANTOS,1,Beijing 2022,1994
Xandra VELZEBOER,1,Beijing 2022,2001
Yuting ZHANG,1,Beijing 2022,1999
Arianna VALCEPINA,1,Beijing 2022,1994
Alyson CHARLES,1,Beijing 2022,1998
Gwendoline DAUDET,1,Beijing 2022,1998
Valentina ASCIC,1,Beijing 2022,1998
Michaela HRUZOVA,1,Beijing 2022,1998
Nikola MAZUR,1,Beijing 2022,1995
Kamila STORMOWSKA,1,Beijing 2022,2000
Hanne DESMET,1,Beijing 2022,1996
Florence BRUNELLE,1,Beijing 2022,2003
Selma POUTSMA,1,Beijing 2022,1999
Brendan Ronald COREY,1,Beijing 2022,1997
Stijn DESMET,1,Beijing 2022,1998
Maxime LAOUN,1,Beijing 2022,1996
Jordan PIERRE-GILLES,1,Beijing 2022,1998
Jens VAN 'T WOUT,1,Beijing 2022,2001
Roberts KRUZBERGS,1,Beijing 2022,2001
Kota KIKUCHI,1,Beijing 2022,1997
Sidney K CHU,1,Beijing 2022,1999
Pietro SIGHEL,1,Beijing 2022,1999
Adil GALIAKHMETOV,1,Beijing 2022,1998
Steven DUBOIS,1,Beijing 2022,1997
Oleh HANDEI,1,Beijing 2022,1999
Konstantin IVLIEV,1,Beijing 2022,2000
Katsunori KOIKE,1,Beijing 2022,2000
Ryan PIVIROTTO,1,Beijing 2022,1995
Quentin FERCOQ,1,Beijing 2022,1999
Juneseo LEE,1,Beijing 2022,2000
Andrea CASSINELLI,1,Beijing 2022,1993
Long SUN,1,Beijing 2022,2000
Semen ELISTRATOV,1,Beijing 2022,1990
Andrew HEO,1,Beijing 2022,2001
Shogo MIYATA,1,Beijing 2022,2003
Reinis BERZINS,1,Beijing 2022,2001
Sven ROES,1,Beijing 2022,1999
Janghyuk PARK,1,Beijing 2022,1998
Tianyi ZHANG,1,Beijing 2022,2004
Denis AIRAPETIAN,1,Beijing 2022,1997
Luca SPECHENHAUSER,1,Beijing 2022,2000
Daniil EIBOG,1,Beijing 2022,1997
Michal NIEWINSKI,1,Beijing 2022,2003
Niall TREACY,1,Beijing 2022,2000
Wenlong LI,1,Beijing 2022,2001
Furkan AKAR,1,Beijing 2022,2002
Chutong ZHANG,1,Beijing 2022,2003
Anna VOSTRIKOVA,1,Beijing 2022,2002
Olga TIKHONOVA,1,Beijing 2022,1997
Courtney SARAULT,1,Beijing 2022,2000
Arianna SIGHEL,1,Beijing 2022,1996
Danae BLAIS,1,Beijing 2022,1999
Uliana DUBROVA,1,Beijing 2022,2002
Julie LETAI,1,Beijing 2022,2000
Ruki TOMITA,1,Beijing 2022,2001
Berenice WICKI,1,Beijing 2022,2002
Kamilla KOZUBACK,1,Beijing 2022,2004
Leilani ETTEL,1,Beijing 2022,2001
Tessa MAUD,1,Beijing 2022,2003
Shaotong WU,1,Beijing 2022,1998
Mitsuki ONO,1,Beijing 2022,2004
