athlete_full_name,athlete_year_birth
"ben ogden",2000
"niall treacy",2000
"nikita novitskii",2000
"luke jager",2000
"courtney sarault",2000
"davide graz",2000
"andrei feldorean",2000
"jon sallinen",2000
"julie letai",2000
"valerio grond",2000
"birk ruud",2000
"thibault magnin",2000
"kim gubser",2000
"connor howe",2000
"casey dawson",2000
"ragne wiklund",2000
"wataru morishige",2000
"ethan cepuran",2000
"sina siegenthaler",2000
"stacy gaskill",2000
"gabriel odor",2000
"julie nistad samsonsen",2000
"femke kok",2000
"anna hoffmann",2000
"kinga rajda",2000
"artem arefyev",2000
"merijn scheperkamp",2000
"simone deromedis",2000
"jens luraas oftebro",2000
"gael blondeau",2000
"andrzej szczechowicz",2000
"sora yachi",2000
"gian casanova",2000
"anni karava",2000
"cody winters",2000
"stephen schumann",2000
"nikolaj majorov",2000
"sihyeong lee",2000
"yannik angenend",2000
"hinako tomitaka",2000
"kisara sumiyoshi",2000
"arnaud gaudet",2000
"saba kumaritashvili",2000
"olivia giaccio",2000
"leon felderer",2000
"doina descalui",2000
"klaudia domaradzka",2000
"peixuan wang",2000
"elina vitola",2000
"tess coady",2000
"makena hodgson",2000
"lisa schulte",2000
"cooper woods-topalovic",2000
"ariane burri",2000
"niklas hartweg",2000
"amy baserga",2000
"tereza vobornikova",2000
"saskja lack",2000
"george coltea",2000
"cesar beauvais",2000
"pirmin werner",2000
"vladislav kireyev",2000
"tommaso giacomel",2000
"umito kirchwehm",2000
"didier bionaz",2000
"atle lie mcgrath",2000
"marion thenault",2000
"cesar arnouk",2000
"berkin usta",2000
"lucas braathen",2000
"cande moreno becerra",2000
"emma weiss",2000
"alix wilkinson",2000
"chloe mcmillan",2000
"sean fitzsimons",2000
"niek velden van der",2000
"anastasiya shepilenko",2000
"harutyun harutyunyan",2000
"manon ouaiss",2000
"hilma loevblom",2000
"a j hurt",2000
"atefeh ahmadi",2000
"alina tararychenkova",2000
"hannah neise",2000
"hongbo gao",2000
"jasmin kahara",2000
"izabela marcisz",2000
"kamila stormowska",2000
"aveli uustalu",2000
"ryo hirose",2000
"friedrich moch",2000
"remi drolet",2000
"kaylie buck",2000
"gus schumacher",2000
"william poromaa",2000
"franco dal farra",2000
"magdalena kobielusz",2000
"nina riedener",2000
"yevhen marusiak",2000
"daria rublova",2000
"konstantin ivliev",2000
"katsunori koike",2000
"martina di centa",2000
"sophia laukli",2000
"juneseo lee",2000
"selma poutsma",1999
"julian schmid",1999
"flora dolci",1999
"elvira oeberg",1999
"marek kania",1999
"seunggi jung",1999
"william feneley",1999
"so matsuda",1999
"evgenii rukosuev",1999
"nejc naralocnik",1999
"alexia queyrel",1999
"birk irving",1999
"anna juppe",1999
"anastasia gornostaeva",1999
"yannick chabloz",1999
"pawel pyjas",1999
"michelle de jong",1999
"zuzana holikova",1999
"frida karlsson",1999
"zhenyu zhu",1999
"david mobaerg",1999
"hadesi badelihan",1999
"elias huber",1999
"lovro kos",1999
"adake ahenaer",1999
"satoshi furuno",1999
"roman sadovsky",1999
"mika vermeulen",1999
"henrieta horvatova",1999
"hallgeir engebraaten",1999
"marijke groenewoud",1999
"austin kleba",1999
"damian zurek",1999
"jasmine baird",1999
"margaux hackett",1999
"hanne eilertsen",1999
"daniil serokhvostov",1999
"carola niemelae",1999
"camille rast",1999
"tomas sklenarik",1999
"sofiane gagnon",1999
"hannah soar",1999
"makayla gerken schofield",1999
"ekaterina sloeva",1999
"anna nifantava",1999
"kristo siimer",1999
"zhongyan ning",1999
"tyson langelaar",1999
"mikulas karlik",1999
"filippo ferrari",1999
"keely cashman",1999
"anja mandeljc",1999
"natalia sherina",1999
"katie hensien",1999
"seonghyeon park",1999
"alexander terentev",1999
"leon vockensperger",1999
"jiaxu sun",1999
"kaito hamada",1999
"tiarn collins",1999
"neza zerjav",1999
"weronika kaleta",1999
"naomy boudreau-guertin",1999
"ruki tobita",1999
"carola vila obiols",1999
"leo johansson",1999
"max langenhan",1999
"yuanmeng chu",1999
"anja barugh",1999
"amedeo bagnis",1999
"liam tourki",1999
"lucas foster",1999
"yuting zhang",1999
"ao gu",1999
"ondrej cerny",1999
"vili crv",1999
"yahor shpuntau",1999
"alexandru stefan stefanescu ",1999
"kaitlyn vesterstein",1999
"martin himma",1999
"aleksandra michalik",1999
"ashley farquharson",1999
"haruki yamashita",1999
"sara ponya",1999
"samuel maier",1999
"constantin schmid",1999
"sidney k chu",1999
"pietro sighel",1999
"anna berreiter",1999
"lara della mea",1999
"oleh handei",1999
"pawel wasek",1999
"quentin fercoq",1999
"melissa gal",1999
"margot boch",1999
"sven roes",1999
"jenni saarinen",1999
"jared shumate",1999
"donovan carrillo",1999
"dmytro mazurchuk",1999
"artem galunin",1999
"danae blais",1999
"bayani jialin",1999
"hristina matsokina",1998
"mathilde myhrvold",1998
"adam runnalls",1998
"hanna karaliova",1998
"oskar elofsson",1998
"nadezhda stepashkina",1998
"anita gulli",1998
"colin wili",1998
